DATE;TIME PERIOD;OBS.VALUE;OBS.STATUS;OBS.COMMENT;SERIES KEY;TITLE;FREQUENCY;FREQUENCY (DESC.);REFERENCE AREA;REFERENCE AREA (DESC.);CURRENCY;CURRENCY (DESC.);FINANCIAL MARKET PROVIDER;FINANCIAL MARKET PROVIDER (DESC.);FINANCIAL MARKET INSTRUMENT;FINANCIAL MARKET INSTRUMENT (DESC.);FINANCIAL MARKET PROVIDER IDENTIFIER;FINANCIAL MARKET PROVIDER IDENTIFIER (DESC.);FINANCIAL MARKET DATA TYPE;FINANCIAL MARKET DATA TYPE (DESC.)
1980-02-07;07 Feb 1980;0,0315;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-08;08 Feb 1980;0,0287;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-09;09 Feb 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-10;10 Feb 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-11;11 Feb 1980;0,0308;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-12;12 Feb 1980;0,0252;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-13;13 Feb 1980;0,0266;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-14;14 Feb 1980;0,017;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-15;15 Feb 1980;0,0171;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-16;16 Feb 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-17;17 Feb 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-18;18 Feb 1980;0,017;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-02-19;19 Feb 1980;0,0162;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
